case_id,benchmark,model,n_runs,dar,modal_decision,n_unique_decisions,dcb,has_trajectory,tar,n_unique_trajectories,dar_tar_gap,has_evidence,ecd,scde
DQ-001,dataops,claude-opus-4-20250514,3,1.0,quarantine,1,1.0,True,0.3333333333333333,3,0.6666666666666667,True,0.41269841269841273,0.41269841269841273
DQ-001,dataops,claude-sonnet-4-20250514,3,1.0,quarantine,1,1.0,True,0.6666666666666666,2,0.33333333333333337,True,0.6904761904761904,0.6904761904761904
DQ-001,dataops,gemini-2.0-flash,3,1.0,escalate,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-001,dataops,gemma4_latest,8,1.0,escalate,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-001,dataops,gpt-oss_20b,8,1.0,quarantine,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-001,dataops,granite3.3_latest,8,1.0,auto_fix,1,1.0,False,,0,,False,,
DQ-001,dataops,mistral_7b,8,1.0,auto_fix,1,1.0,False,,0,,False,,
DQ-001,dataops,qwen2.5_7b-instruct,8,1.0,auto_fix,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-001,dataops,qwen3.5_latest,8,1.0,auto_fix,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-002,dataops,claude-opus-4-20250514,3,1.0,quarantine,1,1.0,True,1.0,1,0.0,True,0.4920634920634921,0.4920634920634921
DQ-002,dataops,claude-sonnet-4-20250514,3,1.0,quarantine,1,1.0,True,0.6666666666666666,2,0.33333333333333337,True,0.5714285714285714,0.5714285714285714
DQ-002,dataops,gemini-2.0-flash,3,1.0,auto_fix,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-002,dataops,gemma4_latest,8,1.0,auto_fix,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-002,dataops,gpt-oss_20b,8,1.0,auto_fix,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-002,dataops,granite3.3_latest,8,1.0,auto_fix,1,1.0,False,,0,,False,,
DQ-002,dataops,mistral_7b,8,1.0,auto_fix,1,1.0,False,,0,,False,,
DQ-002,dataops,qwen2.5_7b-instruct,8,1.0,escalate,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-002,dataops,qwen3.5_latest,8,1.0,quarantine,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-003,dataops,claude-opus-4-20250514,3,0.6666666666666666,escalate,2,0.42061983571430506,True,0.6666666666666666,2,0.0,False,,
DQ-003,dataops,claude-sonnet-4-20250514,3,1.0,quarantine,1,1.0,True,1.0,1,0.0,True,0.6904761904761904,0.6904761904761904
DQ-003,dataops,gemini-2.0-flash,3,1.0,escalate,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-003,dataops,gemma4_latest,8,1.0,quarantine,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-003,dataops,gpt-oss_20b,8,1.0,escalate,1,1.0,True,0.875,2,0.125,True,0.0625,0.0625
DQ-003,dataops,granite3.3_latest,8,1.0,auto_fix,1,1.0,False,,0,,False,,
DQ-003,dataops,mistral_7b,8,1.0,quarantine,1,1.0,False,,0,,False,,
DQ-003,dataops,qwen2.5_7b-instruct,8,1.0,escalate,1,1.0,True,1.0,1,0.0,True,0.0,0.0
