model,model_id,metric,point,ci_lo,ci_hi,n,n_benchmarks,aggregation
Qwen 3.5,qwen3.5_latest,DAR,1.0,1.0,1.0,103,3,benchmark_mean
Qwen 3.5,qwen3.5_latest,TAR,1.0,1.0,1.0,103,3,benchmark_mean
Qwen 3.5,qwen3.5_latest,Gap,0.0,0.0,0.0,103,3,benchmark_mean
Qwen 3.5,qwen3.5_latest,ECD,0.0,0.0,0.0,103,3,benchmark_mean
Qwen 3.5,qwen3.5_latest,Kappa,1.0,1.0,1.0,103,3,benchmark_mean
Qwen 3.5,qwen3.5_latest,DCB,0.043267122163122396,0.014466950603964912,0.1300826820358905,100,2,benchmark_mean_min_cases_10
Gemma 4,gemma4_latest,DAR,0.9991666666666666,0.9975,1.0,150,3,benchmark_mean
Gemma 4,gemma4_latest,TAR,0.9949659863945578,0.990765306122449,0.9983333333333334,149,3,benchmark_mean
Gemma 4,gemma4_latest,Gap,0.004183673469387755,0.0008333333333333334,0.008333333333333333,149,3,benchmark_mean
Gemma 4,gemma4_latest,ECD,0.005361111111111111,0.0016666666666666668,0.009805555555555552,148,3,benchmark_mean
Gemma 4,gemma4_latest,Kappa,0.9974175721304385,0.9919209872553574,1.0,150,3,benchmark_mean
Gemma 4,gemma4_latest,DCB,0.11143739805201058,0.06966970031429913,0.20330172794452134,150,3,benchmark_mean_min_cases_10
Qwen 2.5 7B,qwen2.5_7b-instruct,DAR,0.9975,0.9941666666666666,1.0,150,3,benchmark_mean
Qwen 2.5 7B,qwen2.5_7b-instruct,TAR,0.9975,0.9941666666666666,1.0,150,3,benchmark_mean
Qwen 2.5 7B,qwen2.5_7b-instruct,Gap,0.0,-0.0025,0.0025,150,3,benchmark_mean
Qwen 2.5 7B,qwen2.5_7b-instruct,ECD,0.00035460992907801345,0.0,0.0010638297872340404,147,3,benchmark_mean
Qwen 2.5 7B,qwen2.5_7b-instruct,Kappa,0.9915738029533822,0.9810103814261374,1.0,150,3,benchmark_mean
Qwen 2.5 7B,qwen2.5_7b-instruct,DCB,0.3518499966042909,0.2770124447705461,0.4717523938793315,150,3,benchmark_mean_min_cases_10
Granite 3.3,granite3.3_latest,DAR,0.9933333333333333,0.9891666666666667,0.9975,150,3,benchmark_mean
Granite 3.3,granite3.3_latest,TAR,,,,0,0,benchmark_mean
Granite 3.3,granite3.3_latest,Gap,,,,0,0,benchmark_mean
Granite 3.3,granite3.3_latest,ECD,,,,0,0,benchmark_mean
Granite 3.3,granite3.3_latest,Kappa,0.9759331543361687,0.9458210724085733,0.9885127471554155,150,3,benchmark_mean
Granite 3.3,granite3.3_latest,DCB,0.499512575481951,0.430090986032405,0.6058501000329921,150,3,benchmark_mean_min_cases_10
Mistral 7B,mistral_7b,DAR,0.9966666666666667,0.9933333333333333,0.9991666666666666,118,3,benchmark_mean
Mistral 7B,mistral_7b,TAR,,,,0,0,benchmark_mean
Mistral 7B,mistral_7b,Gap,,,,0,0,benchmark_mean
Mistral 7B,mistral_7b,ECD,,,,0,0,benchmark_mean
Mistral 7B,mistral_7b,Kappa,0.9855225892849063,0.9666365043730027,0.9966917432496338,118,3,benchmark_mean
Mistral 7B,mistral_7b,DCB,0.39805355933754516,0.3237202292461834,0.5412193035900003,119,3,benchmark_mean_min_cases_10
GPT-OSS 20B,gpt-oss_20b,DAR,0.9633333333333334,0.9491666666666667,0.9758333333333334,150,3,benchmark_mean
GPT-OSS 20B,gpt-oss_20b,TAR,0.9564625850340137,0.943111819727891,0.9681802721088436,149,3,benchmark_mean
GPT-OSS 20B,gpt-oss_20b,Gap,0.0067346938775510205,-0.001615646258503402,0.015051020408163265,149,3,benchmark_mean
GPT-OSS 20B,gpt-oss_20b,ECD,0.01661439241924302,0.009118831410088294,0.025111047197775044,115,3,benchmark_mean
GPT-OSS 20B,gpt-oss_20b,Kappa,0.8868755792260089,0.8462031695644141,0.9181057149930916,150,3,benchmark_mean
GPT-OSS 20B,gpt-oss_20b,DCB,0.13185583271921972,0.08035535348800041,0.23237527628579194,150,3,benchmark_mean_min_cases_10
Gemini 2.0 Flash,gemini-2.0-flash,DAR,0.9533333333333333,0.9355555555555556,0.9688888888888889,150,3,benchmark_mean
Gemini 2.0 Flash,gemini-2.0-flash,TAR,0.891111111111111,0.8644444444444442,0.9177777777777777,150,3,benchmark_mean
Gemini 2.0 Flash,gemini-2.0-flash,Gap,0.062222222222222213,0.03333333333333334,0.0911111111111111,150,3,benchmark_mean
Gemini 2.0 Flash,gemini-2.0-flash,ECD,0.08115070907590087,0.057061874568668035,0.10766976506786285,128,3,benchmark_mean
Gemini 2.0 Flash,gemini-2.0-flash,Kappa,0.848790009863333,0.7854200472749057,0.9010686541570924,150,3,benchmark_mean
Gemini 2.0 Flash,gemini-2.0-flash,DCB,0.1427464705428136,0.09735506536621161,0.23724043588963423,150,3,benchmark_mean_min_cases_10
Gemini 2.5 Pro,gemini-2.5-pro,DAR,0.8598484848484848,0.8231225296442686,0.8939393939393938,90,2,benchmark_mean
Gemini 2.5 Pro,gemini-2.5-pro,TAR,0.7471179183135706,0.6996026844532279,0.793560606060606,90,2,benchmark_mean
Gemini 2.5 Pro,gemini-2.5-pro,Gap,0.11273056653491435,0.05797101449275362,0.16814888010540185,90,2,benchmark_mean
Gemini 2.5 Pro,gemini-2.5-pro,ECD,0.18560719640179907,0.1334905463934699,0.2403181742462102,52,2,benchmark_mean
Gemini 2.5 Pro,gemini-2.5-pro,Kappa,0.5519828882041812,0.4318753748403098,0.6528086729982752,90,2,benchmark_mean
Gemini 2.5 Pro,gemini-2.5-pro,DCB,0.09916308258474255,0.048563442194056006,0.21391492024408545,91,2,benchmark_mean_min_cases_10
Claude Opus 4.5,claude-opus-4-20250514,DAR,0.9022222222222221,0.8733333333333332,0.931111111111111,125,3,benchmark_mean
Claude Opus 4.5,claude-opus-4-20250514,TAR,0.7422222222222222,0.7000000000000001,0.7844444444444444,125,3,benchmark_mean
Claude Opus 4.5,claude-opus-4-20250514,Gap,0.16,0.11555555555555556,0.20222222222222222,125,3,benchmark_mean
Claude Opus 4.5,claude-opus-4-20250514,ECD,0.1954893614615837,0.15644290830054716,0.2312557941030163,91,3,benchmark_mean
Claude Opus 4.5,claude-opus-4-20250514,Kappa,0.530993911131383,0.3949464120320714,0.6535181668909557,125,3,benchmark_mean
Claude Opus 4.5,claude-opus-4-20250514,DCB,0.3539567856661416,0.2766225289748848,0.4858492480194981,125,3,benchmark_mean_min_cases_10
Claude Sonnet 4,claude-sonnet-4-20250514,DAR,0.9466666666666667,0.9266666666666666,0.9644444444444445,150,3,benchmark_mean
Claude Sonnet 4,claude-sonnet-4-20250514,TAR,0.7666666666666666,0.7311111111111112,0.8022222222222221,150,3,benchmark_mean
Claude Sonnet 4,claude-sonnet-4-20250514,Gap,0.18000000000000002,0.14222222222222222,0.21777777777777782,150,3,benchmark_mean
Claude Sonnet 4,claude-sonnet-4-20250514,ECD,0.25021236679653963,0.22778774451648126,0.27243035848681885,126,3,benchmark_mean
Claude Sonnet 4,claude-sonnet-4-20250514,Kappa,0.5583320850789931,0.47671116941778285,0.6406967206135094,150,3,benchmark_mean
Claude Sonnet 4,claude-sonnet-4-20250514,DCB,0.40762683239886877,0.35489890882301584,0.49164497714847166,150,3,benchmark_mean_min_cases_10
