model,n_benchmarks,total_episodes,mean_dar,mean_dcb,mean_tar,mean_dar_tar_gap,mean_ecd
claude-opus-4-20250514,3,375,0.9022222222222221,0.8311068873333388,0.7422222222222222,0.16,0.1954893614615837
claude-sonnet-4-20250514,3,450,0.9466666666666667,0.9072991737142888,0.7666666666666666,0.18000000000000002,0.2502123667965397
deepseek-r1_8b,1,14,1.0,1.0,,,
gemini-2.0-flash,3,450,0.9533333333333333,0.9188867770000028,0.891111111111111,0.062222222222222234,0.08115070907590088
gemini-2.5-pro,2,270,0.8598484848484848,0.7582010710227349,0.7471179183135706,0.11273056653491437,0.18560719640179907
gemma4_latest,3,1200,0.9991666666666666,0.9977136601320126,0.9949659863945578,0.004183673469387755,0.005361111111111111
gpt-oss_20b,3,1200,0.9633333333333334,0.9153788121746592,0.9564625850340137,0.0067346938775510205,0.01661439241924302
granite3.3_latest,3,1200,0.9933333333333333,0.9817092810561,,,
mistral_7b,3,944,0.9966666666666667,0.9908546405280498,,,
qwen2.5_7b-instruct,3,1200,0.9975,0.9931409803960375,0.9975,0.0,0.0003546099290780141
qwen3.5_latest,3,824,1.0,1.0,1.0,0.0,0.0
