benchmark,model,n_cases,n_episodes,mean_dar,std_dar,mean_dcb,traj_coverage,mean_tar,std_tar,mean_dar_tar_gap,ev_coverage,mean_ecd,mean_scde
compliance,claude-opus-4-20250514,50,150,0.8999999999999999,0.16835875742536846,0.8293611572857194,50/50,0.78,0.2193579582148766,0.12,36/50,0.10864197530864196,0.10864197530864196
compliance,claude-sonnet-4-20250514,50,150,0.94,0.12936264483053456,0.895711570428575,50/50,0.7933333333333333,0.20079208230769538,0.14666666666666667,41/50,0.12655826558265582,0.12655826558265582
compliance,deepseek-r1_8b,2,14,1.0,0.0,1.0,0/2,,,,0/2,,
compliance,gemini-2.0-flash,50,150,0.8933333333333333,0.15707069049972042,0.8145983474285776,50/50,0.8866666666666666,0.15950604023280218,0.006666666666666665,34/50,0.0542483660130719,0.0542483660130719
compliance,gemini-2.5-pro,44,132,0.8863636363636362,0.17525443767111934,0.8060922241883174,44/44,0.7840909090909091,0.24266911962765217,0.10227272727272729,29/44,0.09923371647509578,0.09923371647509578
compliance,gemma4_latest,50,400,0.9975,0.017677669529663684,0.9931409803960375,49/50,0.9948979591836735,0.024989368487718253,0.002551020408163265,48/50,0.0020833333333333333,0.0020833333333333333
compliance,gpt-oss_20b,50,400,0.98,0.05273151092940501,0.9486086922333663,50/50,0.99,0.03425593945223371,-0.01,43/50,0.0019379844961240312,0.0019379844961240312
compliance,granite3.3_latest,50,400,1.0,0.0,1.0,0/50,,,,0/50,,
compliance,mistral_7b,50,400,0.99,0.03425593945223371,0.9725639215841497,0/50,,,,0/50,,
compliance,qwen2.5_7b-instruct,50,400,1.0,0.0,1.0,50/50,1.0,0.0,0.0,50/50,0.0,0.0
compliance,qwen3.5_latest,50,400,1.0,0.0,1.0,50/50,1.0,0.0,0.0,50/50,0.0,0.0
dataops,claude-opus-4-20250514,25,75,0.88,0.16329931618554522,0.7914231408571498,25/25,0.6266666666666666,0.24190601174530268,0.2533333333333333,16/25,0.4285383597883598,0.4285383597883598
dataops,claude-sonnet-4-20250514,50,150,0.9466666666666665,0.12344267996967354,0.9072991737142888,50/50,0.6733333333333331,0.23799998094475808,0.2733333333333334,42/50,0.5434586797682035,0.5434586797682035
dataops,gemini-2.0-flash,50,150,0.98,0.07996597916069842,0.9652371901428584,50/50,0.8933333333333333,0.18368858592367532,0.08666666666666668,46/50,0.105175983436853,0.105175983436853
dataops,gemma4_latest,50,400,1.0,0.0,1.0,50/50,1.0,0.0,0.0,50/50,0.0045000000000000005,0.0045000000000000005
dataops,gpt-oss_20b,50,400,0.98,0.04629100498862757,0.9451278431682997,49/50,0.9693877551020408,0.054310379734805535,0.01020408163265306,41/50,0.01524390243902439,0.01524390243902439
dataops,granite3.3_latest,50,400,1.0,0.0,1.0,0/50,,,,0/50,,
dataops,mistral_7b,18,144,1.0,0.0,1.0,0/18,,,,0/18,,
dataops,qwen2.5_7b-instruct,50,400,0.9925,0.029987242185261904,0.9794229411881124,50/50,0.9925,0.0299872421852619,0.0,47/50,0.0010638297872340424,0.0010638297872340424
dataops,qwen3.5_latest,50,400,1.0,0.0,1.0,50/50,1.0,0.0,0.0,50/50,0.0,0.0
portfolio,claude-opus-4-20250514,50,150,0.9266666666666667,0.13948398586549346,0.8725363638571472,50/50,0.82,0.20437394032261846,0.10666666666666667,39/50,0.04928774928774929,0.04928774928774929
portfolio,claude-sonnet-4-20250514,50,150,0.9533333333333333,0.11683661091795523,0.9188867770000028,50/50,0.8333333333333333,0.21560440805089087,0.12000000000000002,43/50,0.08062015503875969,0.08062015503875969
portfolio,gemini-2.0-flash,50,150,0.9866666666666666,0.0659828879073858,0.9768247934285722,50/50,0.8933333333333333,0.17089865185644154,0.09333333333333334,48/50,0.08402777777777777,0.08402777777777777
portfolio,gemini-2.5-pro,46,138,0.8333333333333333,0.1685083432011456,0.7103099178571526,46/46,0.710144927536232,0.2206465880109158,0.12318840579710146,23/46,0.27198067632850237,0.27198067632850237
portfolio,gemma4_latest,50,400,1.0,0.0,1.0,50/50,0.99,0.03425593945223371,0.01,50/50,0.0095,0.0095
portfolio,gpt-oss_20b,50,400,0.93,0.1241296228355912,0.8523999011223117,50/50,0.91,0.12121830534626529,0.02,31/50,0.032661290322580645,0.032661290322580645
portfolio,granite3.3_latest,50,400,0.98,0.04629100498862757,0.9451278431682997,0/50,,,,0/50,,
portfolio,mistral_7b,50,400,1.0,0.0,1.0,0/50,,,,0/50,,
portfolio,qwen2.5_7b-instruct,50,400,1.0,0.0,1.0,50/50,1.0,0.0,0.0,50/50,0.0,0.0
portfolio,qwen3.5_latest,3,24,1.0,0.0,1.0,3/3,1.0,0.0,0.0,3/3,0.0,0.0
