task,model,case_id,n_runs,modal_decision,dar,tar,tar_multiset,tar_set,gap,gap_multiset,gap_set,tool_run_rate
compliance,claude-opus-4-20250514,TXN-2025-001,3,dismiss,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
compliance,claude-opus-4-20250514,TXN-2025-002,3,escalate,1.0,0.6666666666666666,1.0,1.0,0.33333333333333337,0.0,0.0,1.0
compliance,claude-opus-4-20250514,TXN-2025-003,3,dismiss,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
compliance,claude-opus-4-20250514,TXN-2025-004,3,escalate,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
compliance,claude-opus-4-20250514,TXN-2025-005,3,investigate,0.6666666666666666,0.6666666666666666,1.0,1.0,0.0,-0.33333333333333337,-0.33333333333333337,1.0
compliance,claude-opus-4-20250514,TXN-2025-006,3,escalate,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
compliance,claude-opus-4-20250514,TXN-2025-007,3,dismiss,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.0,0.0,-0.33333333333333337,1.0
compliance,claude-opus-4-20250514,TXN-2025-008,3,escalate,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
compliance,claude-opus-4-20250514,TXN-2025-009,3,dismiss,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.0,0.0,-0.33333333333333337,1.0
compliance,claude-opus-4-20250514,TXN-2025-010,3,investigate,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.0,0.0,-0.33333333333333337,1.0
compliance,claude-opus-4-20250514,TXN-2025-011,3,escalate,1.0,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666667,0.33333333333333337,0.0,1.0
compliance,claude-opus-4-20250514,TXN-2025-012,3,investigate,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,0.0,-0.33333333333333337,1.0
compliance,claude-opus-4-20250514,TXN-2025-013,3,escalate,1.0,0.6666666666666666,0.6666666666666666,1.0,0.33333333333333337,0.33333333333333337,0.0,1.0
compliance,claude-opus-4-20250514,TXN-2025-014,3,dismiss,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
compliance,claude-opus-4-20250514,TXN-2025-015,3,escalate,0.6666666666666666,1.0,1.0,1.0,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,1.0
compliance,claude-opus-4-20250514,TXN-2025-016,3,investigate,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.0,0.0,-0.33333333333333337,1.0
compliance,claude-opus-4-20250514,TXN-2025-017,3,escalate,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
compliance,claude-opus-4-20250514,TXN-2025-018,3,investigate,0.6666666666666666,1.0,1.0,1.0,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,1.0
compliance,claude-opus-4-20250514,TXN-2025-019,3,escalate,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
compliance,claude-opus-4-20250514,TXN-2025-020,3,investigate,1.0,0.6666666666666666,0.6666666666666666,1.0,0.33333333333333337,0.33333333333333337,0.0,1.0
compliance,claude-opus-4-20250514,TXN-2025-021,3,investigate,1.0,0.6666666666666666,1.0,1.0,0.33333333333333337,0.0,0.0,1.0
