model,model_name,fallback_rate,n_fallback_episodes,n_episodes,adversarial_dar,adversarial_gap,baseline_gap,gap_sign_flipped
gemini-2.0-flash,Gemini 2.0 Flash,0.01,3,300,0.9266666666666666,0.040000000000000036,0.050000000000000044,False
gemini-2.0-flash,Gemini 2.0 Flash,0.02,6,300,0.9166666666666666,0.030000000000000027,0.050000000000000044,False
gemini-2.0-flash,Gemini 2.0 Flash,0.05,15,300,0.8866666666666667,1.1102230246251565e-16,0.050000000000000044,False
gemini-2.0-flash,Gemini 2.0 Flash,0.1,30,300,0.8366666666666667,-0.04999999999999993,0.050000000000000044,True
gemini-2.0-flash,Gemini 2.0 Flash,0.05333333333333334,16,300,,0.0,0.050000000000000044,True
gemini-2.5-pro,Gemini 2.5 Pro,0.01,2,132,0.8712121212121211,0.1212121212121211,0.13636363636363624,False
gemini-2.5-pro,Gemini 2.5 Pro,0.02,3,132,0.8636363636363634,0.11363636363636342,0.13636363636363624,False
gemini-2.5-pro,Gemini 2.5 Pro,0.05,7,132,0.8333333333333333,0.08333333333333326,0.13636363636363624,False
gemini-2.5-pro,Gemini 2.5 Pro,0.1,14,132,0.7803030303030302,0.030303030303030165,0.13636363636363624,False
gemini-2.5-pro,Gemini 2.5 Pro,0.13636363636363635,18,132,,0.0,0.13636363636363624,True
