model,model_name,task,left_out_case_id,n_cases_full,n_cases_leave_one_out,full_gap,leave_one_out_gap,absolute_change
gemini-2.0-flash,Gemini 2.0 Flash,compliance,TXN-2025-001,50,49,0.006666666666666665,0.006802721088435373,0.00013605442176870767
gemini-2.0-flash,Gemini 2.0 Flash,compliance,TXN-2025-002,50,49,0.006666666666666665,-2.2657612747452172e-18,0.006666666666666668
gemini-2.0-flash,Gemini 2.0 Flash,compliance,TXN-2025-003,50,49,0.006666666666666665,0.006802721088435373,0.00013605442176870767
gemini-2.0-flash,Gemini 2.0 Flash,compliance,TXN-2025-004,50,49,0.006666666666666665,0.006802721088435373,0.00013605442176870767
gemini-2.0-flash,Gemini 2.0 Flash,compliance,TXN-2025-005,50,49,0.006666666666666665,0.006802721088435373,0.00013605442176870767
gemini-2.0-flash,Gemini 2.0 Flash,compliance,TXN-2025-006,50,49,0.006666666666666665,0.006802721088435373,0.00013605442176870767
gemini-2.0-flash,Gemini 2.0 Flash,compliance,TXN-2025-007,50,49,0.006666666666666665,0.013605442176870748,0.006938775510204082
gemini-2.0-flash,Gemini 2.0 Flash,compliance,TXN-2025-008,50,49,0.006666666666666665,0.006802721088435373,0.00013605442176870767
gemini-2.0-flash,Gemini 2.0 Flash,compliance,TXN-2025-009,50,49,0.006666666666666665,-2.2657612747452172e-18,0.006666666666666668
gemini-2.0-flash,Gemini 2.0 Flash,compliance,TXN-2025-010,50,49,0.006666666666666665,0.006802721088435373,0.00013605442176870767
gemini-2.0-flash,Gemini 2.0 Flash,compliance,TXN-2025-011,50,49,0.006666666666666665,0.006802721088435373,0.00013605442176870767
gemini-2.0-flash,Gemini 2.0 Flash,compliance,TXN-2025-012,50,49,0.006666666666666665,0.006802721088435373,0.00013605442176870767
gemini-2.0-flash,Gemini 2.0 Flash,compliance,TXN-2025-013,50,49,0.006666666666666665,0.006802721088435373,0.00013605442176870767
gemini-2.0-flash,Gemini 2.0 Flash,compliance,TXN-2025-014,50,49,0.006666666666666665,0.013605442176870748,0.006938775510204082
gemini-2.0-flash,Gemini 2.0 Flash,compliance,TXN-2025-015,50,49,0.006666666666666665,0.006802721088435373,0.00013605442176870767
