task,model,model_name,case_id,n_runs,variable_tool_names,variable_control_or_action_tools,variable_evidence_contact_tools,has_control_or_action_variation,has_evidence_contact_variation,directionality
compliance,gemini-2.0-flash,Gemini 2.0 Flash,TXN-2025-002,3,"[""calculate_risk_score"", ""get_customer_profile""]",[],"[""calculate_risk_score"", ""get_customer_profile""]",False,True,presence_varies_no_normative_reference_path
compliance,gemini-2.5-pro,Gemini 2.5 Pro,TXN-2025-002,3,"[""calculate_risk_score""]",[],"[""calculate_risk_score""]",False,True,presence_varies_no_normative_reference_path
compliance,gemini-2.5-pro,Gemini 2.5 Pro,TXN-2025-006,3,"[""get_customer_profile""]",[],"[""get_customer_profile""]",False,True,presence_varies_no_normative_reference_path
compliance,gemini-2.5-pro,Gemini 2.5 Pro,TXN-2025-014,3,"[""calculate_risk_score""]",[],"[""calculate_risk_score""]",False,True,presence_varies_no_normative_reference_path
compliance,gemini-2.5-pro,Gemini 2.5 Pro,TXN-2025-021,3,"[""calculate_risk_score""]",[],"[""calculate_risk_score""]",False,True,presence_varies_no_normative_reference_path
compliance,gemini-2.5-pro,Gemini 2.5 Pro,TXN-2025-024,3,"[""calculate_risk_score""]",[],"[""calculate_risk_score""]",False,True,presence_varies_no_normative_reference_path
compliance,gemini-2.5-pro,Gemini 2.5 Pro,TXN-2025-028,3,"[""calculate_risk_score"", ""check_sanctions"", ""get_customer_profile""]","[""check_sanctions""]","[""calculate_risk_score"", ""get_customer_profile""]",True,True,presence_varies_no_normative_reference_path
compliance,gemini-2.5-pro,Gemini 2.5 Pro,TXN-2025-033,3,"[""calculate_risk_score""]",[],"[""calculate_risk_score""]",False,True,presence_varies_no_normative_reference_path
compliance,gemini-2.5-pro,Gemini 2.5 Pro,TXN-2025-034,3,"[""calculate_risk_score""]",[],"[""calculate_risk_score""]",False,True,presence_varies_no_normative_reference_path
compliance,gemini-2.5-pro,Gemini 2.5 Pro,TXN-2025-035,3,"[""calculate_risk_score""]",[],"[""calculate_risk_score""]",False,True,presence_varies_no_normative_reference_path
